Table7 S2 tidal Clment parameters (see table 5 for explanation),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 7. S2 TIDAL CURRENT PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station,Record,Instr.,Above,,Fourier Coefficients,,,,,,,,,Current Ellipse Parameters,,,,,,,,
Lat.,Length,Depth,Bottom,,East,Error,Phase,Error,North,Error,Phase,Error,,Umajor,Error,Uminor,Error,Phase,Error,Orien,Error,
Long.,(Days),(m),(m),,(cm/s),(cm),(deg-g),(deg),(cm/s),(cm),(deg-g),(deg),,(cm/sec),(cm),(cm/sec),(cm),(deg-g),(deg),(deg-true),(deg),
,,,,,,,,,,,,,,,,,,,,,,
Scotian Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
65 50 W,161,100,10,,5.6,0.3,253,3,3,0.3,111,5,,6.1,0,-1.7,0,80,0,295,0,
,,,,,,,,,,,,,,,,,,,,,,
Northeast Channel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NEC1,174,103,120,,7.4,0.8,205,8,6.2,0.7,58,7,,9.2,0.9,-2.7,1,38,3,309,5,
42 22 N,174,153,70,,7.3,1.4,199,5,7.3,1,56,9,,9.7,1.3,-3.4,1.3,37,5,315,4,
65 56 W,174,207,16,,3.9,1.2,191,18,5.7,1.2,31,17,,6.8,0.8,-1.2,1.8,24,3,325,13,
,,,,,,,,,,,,,,,,,,,,,,
NEC2*,58,106,134,,5.5,0.1,201,5,6.7,1,46,6,,8.5,0.8,-1.9,0,36,4,321,4,
42 18 N,174,156,84,,7,1.1,197,10,6.5,1.6,54,6,,9,1.2,-3.1,1.7,35,2,312,6,
65 58 W,58,217,17,,5.5,2.8,163,62,7.4,3.5,23,43,,8.6,3.7,-3.4,2.8,10,49,327,2,
,,,,,,,,,,,,,,,,,,,,,,
NEC3*,87,112,116,,8.2,1.6,210,6,7.1,1,59,15,,10.6,0.5,-2.6,1,41,7,310,11,
42 11 N,87,162,66,,7.5,2.4,199,9,8.8,2.6,60,5,,10.8,2.9,-4.1,2.2,43,4,322,0,
62 02 W,174,220,16,,3.5,0.5,196,34,6.1,1.3,26,6,,6.8,1.3,-0.6,1.7,25,8,332,5,
,,,,,,,,,,,,,,,,,,,,,,
Gulf of Maine,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CASHES LEDGE,58,33,157,,2.9,0,32,0,2.2,0,102,0,,3.1,0,2,0,229,0,245,0,
43 11 N,58,68,122,,0.6,0.1,71,7,0.4,0.1,214,10,,0.7,0,0.2,0,241,0,301,0,
69 05 W,58,180,10,,0.8,0.1,291,7,2,0.2,103,5,,2.2,0,0.1,0,104,0,338,0,
,,,,,,,,,,,,,,,,,,,,,,
MONHEGAN,57,33,65,,0.4,0,253,0,0.9,0,126,0,,0.9,0,-0.3,0,120,0,343,0,
43 40 N,58,68,30,,0.60.2,0,86,22,1.3,0.5,180,24,,1.3,0,0.6,0,181,0,358,0,
