Table 5. M2 tidal current parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Record ,Instr,Above,Fourier Coefficients,,,,,,,,Current Ellipse Parameters,,,,,,,,,,,,,,
Station,Length,Depth,Bottom,East,Error,PHASE,Error,North,Error,PHASE,Error,Umajor,Error,Uminor,Error,PHASE,Error,Orien,Error,Lat. (N),,Long.(W),,,,
,(Days),(M),(M),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(DEG TRUE),(DEG TRUE),DEG,MIN,DEG,MIN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BED61,29c,50,57b,80,0.0,14.0,0.0,34.3,0.0,23.0,0.0,86.9,0.0,5.0,0.0,15,0.0,67.0,0.0,44,49,66,12,,,
BED60,29c,13,7lb,64.6,0.0,22.0,0.0,32.8,0.0,41.0,0.0,71.8,0.0,9.7,0.0,26,0.0,64.0,0.0,45,0,66,24,,,
L,145,51,15,50.3,0.7,142.0,2.0,57.8,1.5,33.0,2.0,63.1,1.4,43.5,0.7,8,3.0,326,1.0,41,42,66,36,,,
P4,29,79,140,44.8,0,163.0,0.0,39.1,0.0,28.0,0.0,55,0.0,22.7,0.0,2,0.0,309.0,0.0,42,12,66,41,,,
P4,29,129,90.0,27,0,144.0,0.0,44.5,0.0,359.0,0.0,50.2,0.0,13.8,0.0,351,0.0,331.0,0.0,42,12,66,41,,,
P5,29,19,52,63.5,0,161.0,0.0,84.3,0.0,44.0,0.0,91.9,0.0,51.9,0.0,27.0,0.0,331,0.0,42,2,66,41,,,
P5,29,44,27.0,52.4,0,143.0,0.0,67.8,0.0,24.0,0.0,74.8,0.0,41.8,0.0,6.0,0.0,329,0.0,42,2,66,41,,,
P6,58,11,59,63.9,2.6,126,0.0,79.7,0.9,12,1.0,87.0,1.5,53.4,2.1,352.0,1,329.0,1,41,53,66,41,,,
P6,58,26,44.0,59.7,1.8,142,1.0,71.9,0.7,29,1.0,79.3,1.1,49.5,1.4,7,0.0,327,1,41,53,66,41,,,
P6,58,36,34.0,56.3,1.4,176,2.0,65.2,1.2,61,2.0,73.2,0.3,45.5,0.4,37.0,1,324.0,3,41,53,66,41,,,
M1**,NA,77,123,10.9,0.0,164.0,0.0,7.1,0.0,20.0,0.0,12.5,0.0,3.6,0.0,354,0.0,301.0,0.0,42,4,67,52,,,
M1**,NA,192,8.0,9.4,0.0,89.0,0.0,21.1,0.0,311.0,0.0,22.3,0.0,5.9,0.0,305,0.0,340.0,0.0,42,4,67,52,,,
K4*,58,10,67,30.6,0.0,158.0,0.0,36,0.0,46.0,0.0,39.5,2.2,25.9,2.0,23,3.0,327,0.0,40,56,66,58,,,
K4*,58,36,41.0,28.8,0.0,151.0,0.0,32.7,0.0,41.0,0.0,36,1.5,24.5,1.7,15.0,2,325.0,0.0,40,56,66,58,,,
K4*,58,69,8.0,20.8,0.0,123.0,0.0,26.9,0.0,11.0,0.0,28.8,2.2,18.1,1.6,353,4.0,333,0.0,40,56,66,58,,,
P1,15,30,173,47.7,0.0,195.0,0.0,24.6,0.0,95.0,0.0,47.9,0.0,24.1,0.0,18,0.0,277.0,0.0,42,12,67,15,,,
P1,15,40,163.0,46.4,0.0,197.0,0.0,22.1,0.0,98.0,0.0,46.6,0.0,21.7,0.0,19,0.0,276.0,0.0,42,12,67,15,,,
P1,15,75,128.0,35.7,0.0,154.0,0.0,31.7,0.0,18.0,0.0,44.3,0.0,17.7,0.0,353,0.0,310.0,0.0,42,12,67,15,,,
P2,30,14,36,55.6,6.8,151,6.0,89.8,1.7,13,3.0,100.4,2.1,33,0.7,3.0,1.0,332,5.0,42,3,67,15,,,
P2,15,30,20.0,46.7,0.0,145.0,0.0,77,0.0,10.0,0.0,84.8,0.0,30.0,0.0,360,0.0,333.0,0.0,42,3,67,15,,,
P3,15,15,30,54,0.0,116.0,0.0,91.7,0.0,14.0,0.0,94.4,0.0,49.5,0.0,8,0.0,349.0,0.0,41,53,67,15,,,
P3,15,30,15.0,51.8,0.0,132.0,0.0,83.2,0.0,17.0,0.0,87.1,0.0,44.9,0.0,7,0.0,340.0,0.0,41,53,67,15,,,
P3,15,40,5.0,30.1,0.0,136.0,0.0,56.9,0.0,44.0,0.0,56.9,0.0,30.1,0.0,43,0.0,359.0,0.0,41,53,67,15,,,
K3*,58,36,8,46.7,0.0,129.0,0.0,55.1,0.0,22.0,0.0,58.8,1.0,41.9,0.9,2,1.0,330,0.0,41,20,67,16,,,
M9*,58,71,8,19.7,0.0,115.0,0.0,32.1,0.0,6.0,0.0,33,1.4,18.1,1.1,357,2.0,344,0.0,40,54,67,24,,,
A,261,15,70,27.5,1.7,137,4.0,34.2,2.6,27,2.0,36.6,2.4,24.2,1.9,8,2.0,332,3.0,40,51,67,24,,,
A,957,45,40,29.4,1.8,134.0,4,35.8,1.4,26.0,4,38.3,1.6,26.0,1.6,5,2.0,331,3,40,51,67,24,,,
A,957,75,10.0,22.9,1.5,119,4.0,30.6,1.9,8,5.0,32.5,2.0,20.1,1.3,352,3.0,335,2,40,51,67,24,,,
A,290,84,1,14.1,1.4,108.0,10,21.0,1.2,360.0,6.0,21.8,1.5,12.9,0.9,349,3.0,341,6.0,40,51,67,24,,,
C,116,15,23,59,0.7,122,1.0,71.6,0.2,20,1.0,74.3,0.4,55.6,0.5,2,1.0,336,1.0,41,24,67,34,,,
K***,58,10,54,43.8,0.8,142,0.0,51.1,0.3,34,1.0,55.1,0.0,38.7,1.2,11,1.0,328,0.0,41,4,67,34,,,
K***,174,15,45.0,42.2,0.5,139,4.0,49.6,1.9,3O,3,53.6,1.3,37.0,1.1,7.0,1,328,3,41,4,67,34,,,
K***,58,34,30.0,43.8,0.8,142,0.0,51.1,0.3,34,1.0,55.1,0.0,38.7,1.2,11,1.0,328,0,41,4,67,34,,,
K***,174,54,10,31.8,0.8,125.0,4,41.9,0.8,15.0,5,44.4,0.9,28.2,1.2,359.0,5,335.0,1,41,4,67,34,,,
K***,87,58,4,30.3,0.7,129.0,1,38.7,1.1,19.0,1,41.2,1.1,26.8,0.6,1.0,1,333.0,1,41,4,67,34,,,
K***,232,60,1,22.1,1.3,116.0,6,30.4,0.9,8.0,3,31.8,1,20.2,1.1,354.0,3,339.0,5,41,4,67,34,,,
D,87,15,69,30.5,1.4,150,6.0,31.6,4.1,22.0,4,39.5,3.1,19.3,2.3,357.0,2.0,317,5.0,41,59,67,41,,,
M2*,NA,44,41,22.2,0,113.0,0,27.7,0,2.0,0,29.8,0,19.2,0,342,0,331.0,0,42,0,67,49,,,
M2*,NA,77,8.0,13.9,0,61.0,0,29,0,308.0,0,29.6,0,12.5,0,302,0,347.0,0,42,0,67,49,,,
